question,answer,text
,The Philadelphia Eagles, The Philadelphia Eagles
,"subjective,  psychological,  performance and physiological  methods"," subjective,  psychological,  performance and physiological  methods"
,Matthew McClurkin, Matthew McClurkin
,July 2018, July 2018
,1480 English guineas (acceptable range: anything between 1465 and 1495 English guineas), 1480 English guineas (acceptable range: anything between 1465 and 1495 English guineas)
,42.75 (acceptable range: anything between 42.32 and 43.18 hectares), 42.75 (acceptable range: anything between 42.32 and 43.18 hectares)
,Syracuse University, Syracuse University
,platinum, platinum
,Andrea Lang Gurka, Andrea Lang Gurka
,"Walter Gustave ""Gus"" Haenschen"," Walter Gustave ""Gus"" Haenschen"
,ド・キ・ド・キ☆モーニング[ Doki Doki☆Morning ] by BABYMETAL, ド・キ・ド・キ☆モーニング[ Doki Doki☆Morning ] by BABYMETAL
,Laysongs, Laysongs
,26 December 1999, 26 December 1999
,9 January 2012, 9 January 2012
,Washington High School., Washington High School.
,To make this clime a land of righteousness, To make this clime a land of righteousness
,"20,775 millimeters (acceptable range: anything between 19,736 and 21,814 millimeters)"," 20,775 millimeters (acceptable range: anything between 19,736 and 21,814 millimeters)"
,"40,000 dollars (acceptable range: anything between 38,000 and 42,000 dollars)"," 40,000 dollars (acceptable range: anything between 38,000 and 42,000 dollars)"
,583 (acceptable range: anything between 577 and 589), 583 (acceptable range: anything between 577 and 589)
,Dr Arnavaz Havewalla, Dr Arnavaz Havewalla
,Kathleen Mitchell Elementary School, Kathleen Mitchell Elementary School
,1819, 1819
,1961, 1961
,"St Aidan's Church, Blackhill, Consett"," St Aidan's Church, Blackhill, Consett"
,Second, Second
,George Washington University, George Washington University
,Gliese 367 b, Gliese 367 b
,Iris Litt, Iris Litt
,Robert Graham, Robert Graham
,Juan Pablo Guzmán Perdomo, Juan Pablo Guzmán Perdomo
,Theology, Theology
,Edwin White, Edwin White
,Peter Davis., Peter Davis.
,A. W. Skempton, A. W. Skempton
,60 livres (acceptable range: anything between 58 and 62 livres), 60 livres (acceptable range: anything between 58 and 62 livres)
,1977, 1977
,His pet chicken Myrtle, His pet chicken Myrtle
,Los Feliz Grammar School., Los Feliz Grammar School.
,Willa Collar, Willa Collar
,Cornelius Holmboe, Cornelius Holmboe
,2, 2
,107, 107
,Jose Albano Fragosa, Jose Albano Fragosa
,December 1991, December 1991
,Kashmiri, Kashmiri
,Walhonding River, Walhonding River
,Lilian Gentry, Lilian Gentry
,Marusudar River, Marusudar River
,Shangri-La, Shangri-La
,638 (acceptable range: anything between 631 and 645), 638 (acceptable range: anything between 631 and 645)
,Loxodonta cyclotis, Loxodonta cyclotis
,8, 8
,Fucking Money Man, Fucking Money Man
,Brooklyn Superbas, Brooklyn Superbas
,Brenda Fassie, Brenda Fassie
,Miranda., Miranda.
,Dick Oram, Dick Oram
,Slovácko, Slovácko
,The Republic of Colombia, The Republic of Colombia
,"Karachi, Pakistan"," Karachi, Pakistan"
,1950, 1950
,Takao Kondo, Takao Kondo
,88, 88
,Manhattan, Manhattan
,10 July 2010, 10 July 2010
,1, 1
,College of Lore, College of Lore
,"April 1, 1994"," April 1, 1994"
,Mario José Echandi Jiménez, Mario José Echandi Jiménez
,2010, 2010
,June 2022, June 2022
,In the shipbuilding industry., In the shipbuilding industry.
,31YO63LBSN, 31YO63LBSN
,C29H23F6N5O3, C29H23F6N5O3
,Chicagoland Speedway, Chicagoland Speedway
,1991, 1991
,30 June 2007, 30 June 2007
,114 (acceptable range: anything between 113 and 115), 114 (acceptable range: anything between 113 and 115)
,1941, 1941
,Raytheon Blackbird Technologies, Raytheon Blackbird Technologies
,F Major, F Major
,11.53% (acceptable range: anything between 11.41% and 11.65%), 11.53% (acceptable range: anything between 11.41% and 11.65%)
,5 January 1939, 5 January 1939
,Long Good Bye, Long Good Bye
,76 (acceptable range: anything between 75 and 77), 76 (acceptable range: anything between 75 and 77)
,Malaysia, Malaysia
,Hyacinths, Hyacinths
,Boys' Life, Boys' Life
,Daya Ram Thapar, Daya Ram Thapar
,St David., St David.
,900 (acceptable range: anything between 891 and 909), 900 (acceptable range: anything between 891 and 909)
,2, 2
,"2,024"," 2,024"
,"July 9, 2021"," July 9, 2021"
,1889, 1889
,2010, 2010
,51049968, 51049968
,Ferozepur Nallah, Ferozepur Nallah
,Eisenhower, Eisenhower
,New Zealand, New Zealand
,Dr. Debendra Nath Ray, Dr. Debendra Nath Ray
,The Subregular Germ of Orbital Integrals, The Subregular Germ of Orbital Integrals
,Beatrice, Beatrice
,Jahrom, Jahrom
,"""The First"""," ""The First"""
,Arthur Charles Hardy, Arthur Charles Hardy
,Baptist, Baptist
,1865, 1865
,Wallace Morgan, Wallace Morgan
,"Table Mountain, South Africa"," Table Mountain, South Africa"
,Colonel Sir Oliver St John, Colonel Sir Oliver St John
,James Fowler, James Fowler
,12 February 2007, 12 February 2007
,Effect of chemical combination on x-ray emission spectrum, Effect of chemical combination on x-ray emission spectrum
,"April 28, 1969"," April 28, 1969"
,Indus River, Indus River
,Jeong Han Kim, Jeong Han Kim
,10 years 3 months (acceptable range: 10 years and between 2-4 months), 10 years 3 months (acceptable range: 10 years and between 2-4 months)
,2003, 2003
,2008, 2008
,827 seats (acceptable range: anything between 818 and 836 seats), 827 seats (acceptable range: anything between 818 and 836 seats)
,Nelson Oduber, Nelson Oduber
,27 April 2014, 27 April 2014
,Marais Viljoen, Marais Viljoen
,1863, 1863
,#9, #9
,3, 3
,J. Melville Broughton, J. Melville Broughton
,The lieutenant governorship of Ontario, The lieutenant governorship of Ontario
,William John Swainson, William John Swainson
,Shun'ichi Amari, Shun'ichi Amari
,Interstate 694, Interstate 694
,Chris Brown, Chris Brown
,Bettino Ricasoli, Bettino Ricasoli
,Byturus tomentosus, Byturus tomentosus
,2020, 2020
,Sam Haft, Sam Haft
,"Painting, music, and poetry."," Painting, music, and poetry."
,"""Auf dem Kreuzzug ins Glück"""," ""Auf dem Kreuzzug ins Glück"""
," Rovinj, Croatia (formerly Rovigno, Italy)","  Rovinj, Croatia (formerly Rovigno, Italy)"
,2, 2
,Orange County High School, Orange County High School
,Sindh Sagar Doab, Sindh Sagar Doab
,The Order of Excellence of Guyana., The Order of Excellence of Guyana.
,Nabaruma, Nabaruma
,Lake Mead, Lake Mead
,Delhi, Delhi
,James Buchanan, James Buchanan
,aral1243, aral1243
,Alfred Carlton Gilbert, Alfred Carlton Gilbert
,Zofia Emilia Kielan-Jaworowska, Zofia Emilia Kielan-Jaworowska
,23 March 1998, 23 March 1998
,"February 18, 1907"," February 18, 1907"
,1838, 1838
,"FNB Stadium(Soccer City), Cape Town Stadium, Nelson Mandela Bay Stadium"," FNB Stadium(Soccer City), Cape Town Stadium, Nelson Mandela Bay Stadium"
,A Play of Selves, A Play of Selves
,Anabolic Beatz., Anabolic Beatz.
,North Carolina State University, North Carolina State University
,218 (acceptable range: anything between 215 and 221), 218 (acceptable range: anything between 215 and 221)
,Fire Walker, Fire Walker
,Prem Lal Singh, Prem Lal Singh
,1660, 1660
,St. Anthony's High School, St. Anthony's High School
,Scopula modicaria, Scopula modicaria
,7034, 7034
,43rd., 43rd.
,Jerez Zoo, Jerez Zoo
,Cheltenham Grammar School, Cheltenham Grammar School
,3, 3
,34 (acceptable range: anything between 33 and 35), 34 (acceptable range: anything between 33 and 35)
,Patna University, Patna University
,1697, 1697
,South Orange Little League, South Orange Little League
,Ahmedabad, Ahmedabad
,1970, 1970
,Liverpool FC, Liverpool FC
,February 1806, February 1806
,Imponderabilia, Imponderabilia
,Barsebäck Golf & Country Club, Barsebäck Golf & Country Club
,2013, 2013
,April 2021, April 2021
,1915, 1915
,1949, 1949
,"University of Lund, Sweden 
Chinese Culture University in Taipe"," University of Lund, Sweden 
Chinese Culture University in Taipe"
,5, 5
,Wynne Neilly, Wynne Neilly
,John Perry, John Perry
,"Kingston, Ontario"," Kingston, Ontario"
,2, 2
,7, 7
,£20, £20
,California, California
,Hypnos, Hypnos
,S.S. #5 Newbliss School., S.S. #5 Newbliss School.
,University of Pretoria, University of Pretoria
,0, 0
,1.8 hours (acceptable range: anything between 1.78 and 1.82 hours), 1.8 hours (acceptable range: anything between 1.78 and 1.82 hours)
,Perla Tabares Hantman, Perla Tabares Hantman
,The Day After, The Day After
,"Randolph, Orange County"," Randolph, Orange County"
,Elvavrålet, Elvavrålet
,C9LVQ0YUXG, C9LVQ0YUXG
,Paris Electric Light Company, Paris Electric Light Company
,Manetue, Manetue
,September Room, September Room
,Abasa 80., Abasa 80.
,30 kilometers (acceptable range: anything between 29 and 31 kilometers), 30 kilometers (acceptable range: anything between 29 and 31 kilometers)
,Little Caesar and the Consuls, Little Caesar and the Consuls
,1, 1
,The Bing Crosby – Chesterfield Show, The Bing Crosby – Chesterfield Show
,Cyprus Clark Lathrop, Cyprus Clark Lathrop
,65W (acceptable range: anything between 64W and 66W), 65W (acceptable range: anything between 64W and 66W)
,BC-1001, BC-1001
,₹55.10 crores and liabilities are worth ₹7.95 crores (acceptable range: ₹54.54-₹55.66 crores and ₹7.87-₹8.03 crores), ₹55.10 crores and liabilities are worth ₹7.95 crores (acceptable range: ₹54.54-₹55.66 crores and ₹7.87-₹8.03 crores)
,2013, 2013
,The Century Magazine, The Century Magazine
,200 (acceptable range: anything between 198 and 202), 200 (acceptable range: anything between 198 and 202)
,4000 (acceptable range: anything between 3960 and 4040), 4000 (acceptable range: anything between 3960 and 4040)
,St. Charles Borromeo, St. Charles Borromeo
,89 minutes (acceptable range: anything between 88 and 90 minutes), 89 minutes (acceptable range: anything between 88 and 90 minutes)
,Kotsuage, Kotsuage
,6, 6
,1887, 1887
,Team Quebec, Team Quebec
,Ali Barbash, Ali Barbash
,"""Why Do They Call Me Mr. Happy?"""," ""Why Do They Call Me Mr. Happy?"""
,Dadabhai Naoroji, Dadabhai Naoroji
,August 2019, August 2019
,Boronia ramosa, Boronia ramosa
,"August 9, 2019"," August 9, 2019"
,Bihar, Bihar
,2, 2
,American Journal of Hospital Pharmacy, American Journal of Hospital Pharmacy
,e5, e5
,205 (acceptable range: anything between 202 and 208), 205 (acceptable range: anything between 202 and 208)
,6229 °F (acceptable range: anything between 6166 and 6292 °F), 6229 °F (acceptable range: anything between 6166 and 6292 °F)
,2021, 2021
,5 November 2002, 5 November 2002
,"Jakarta, Indonesia"," Jakarta, Indonesia"
,18 November 2012, 18 November 2012
,Vennesla, Vennesla
,1972, 1972
,1, 1
,Evelyn Mantilla, Evelyn Mantilla
,4, 4
,1996, 1996
,"74,500 km2 (acceptable range: anything between 70,775 and 78,225 km2)"," 74,500 km2 (acceptable range: anything between 70,775 and 78,225 km2)"
,24 May 1984, 24 May 1984
,2 May 2012, 2 May 2012
,Bopasenatla Secondary School, Bopasenatla Secondary School
,Vacoas and Phoenix, Vacoas and Phoenix
,3, 3
,Innocent X, Innocent X
,Fêtes de Genève, Fêtes de Genève
,Pathankot, Pathankot
,Jackie Kennedy, Jackie Kennedy
,1992, 1992
,Kathua, Kathua
,Leopard, Leopard
,2008, 2008
,1997, 1997
,6th, 6th
,"Toronto, Canada"," Toronto, Canada"
,CR2025, CR2025
,John Lewis, John Lewis
,Yusuf Meherally, Yusuf Meherally
,NTT DoCoMo, NTT DoCoMo
,Zero Cycles and K-theory on normal surfaces, Zero Cycles and K-theory on normal surfaces
,71, 71
,"Arlington, Virginia"," Arlington, Virginia"
,Stone's Corner, Stone's Corner
,13.03% (acceptable range: anything between 12.90 and 13.16%), 13.03% (acceptable range: anything between 12.90 and 13.16%)
,"Second Empire (also know as ""French Empire"" or ""2nd Empire/Italianate"")"," Second Empire (also know as ""French Empire"" or ""2nd Empire/Italianate"")"
,Poliuto, Poliuto
,"Trinity College, Cambridge"," Trinity College, Cambridge"
,Crystal of Zed, Crystal of Zed
,In Berlin., In Berlin.
,"Bloomington, Indiana"," Bloomington, Indiana"
,February 1973, February 1973
,1435 m (acceptable range: anything between 1420 and 1450 m), 1435 m (acceptable range: anything between 1420 and 1450 m)
,Mari Lloyd-Williams, Mari Lloyd-Williams
,The Bunka Fashion College, The Bunka Fashion College
,"American Cancer Society, the American Public Health Association, the American Heart Association, and the National Tuberculosis Association"," American Cancer Society, the American Public Health Association, the American Heart Association, and the National Tuberculosis Association"
,François de Malherbe., François de Malherbe.
,Mandlesizwe Zulu, Mandlesizwe Zulu
,Los Angeles, Los Angeles
,1376 (acceptable range: anything between 1362 and 1390), 1376 (acceptable range: anything between 1362 and 1390)
,LAGRANGE, LAGRANGE
,Stone, Stone
,University of Belgrade, University of Belgrade
,3571948, 3571948
,Paul Haugen, Paul Haugen
,29 May 1990, 29 May 1990
,"359,083 (acceptable range: anything between 341,128 and 377,038)"," 359,083 (acceptable range: anything between 341,128 and 377,038)"
,28 July 2021, 28 July 2021
,Shemar Moore, Shemar Moore
,"Frankfurt, Germany."," Frankfurt, Germany."
,1.65 million USD (acceptable range: anything between 1.6 million and 1.7 million USD), 1.65 million USD (acceptable range: anything between 1.6 million and 1.7 million USD)
,Jim Rhodes, Jim Rhodes
,Emery Reeves, Emery Reeves
,Karl Thomas Mozart., Karl Thomas Mozart.
,Babyface and Jon-John, Babyface and Jon-John
,Gabrielle Coco Chanel, Gabrielle Coco Chanel
,The Two Fridas., The Two Fridas.
,Chickering Scientific and Classical Institute, Chickering Scientific and Classical Institute
,100 MHz (acceptable range: anything between 99 and 101 MHz), 100 MHz (acceptable range: anything between 99 and 101 MHz)
,September 1993, September 1993
,2006, 2006
,Lucy Suchman, Lucy Suchman
,"""Miss Annabel Lee"""," ""Miss Annabel Lee"""
,Dudhganga, Dudhganga
,"$250,000"," $250,000"
,4, 4
,1880, 1880
,November 2023, November 2023
,George Melly, George Melly
,Stella Rimington, Stella Rimington
,Apothecary, Apothecary
,James B. Patterson, James B. Patterson
