question,answer,text
,Claudio Teitelboim Weitzman, Claudio Teitelboim Weitzman
,"April 3rd, 2007"," April 3rd, 2007"
,1560, 1560
,Knoedler, Knoedler
,Matthew Dubourg, Matthew Dubourg
,Kindly accept my respectful obeisances., Kindly accept my respectful obeisances.
,ukpe-okhue, ukpe-okhue
,1992, 1992
,Harmony Cobel, Harmony Cobel
,September 2014., September 2014.
,14 January 1997, 14 January 1997
,Senator Angelo Arteta, Senator Angelo Arteta
,1968, 1968
,"The stadion, and the double race (Diaulos)."," The stadion, and the double race (Diaulos)."
,Reef Resort, Reef Resort
,H. T. Habershon's evangelical Christian boarding school, H. T. Habershon's evangelical Christian boarding school
,Debbie Allen, Debbie Allen
,Dr. Abdul Kalam, Dr. Abdul Kalam
,2021, 2021
,"November 6, 1652"," November 6, 1652"
,United States, United States
,Sheikh Mohammad Abdullah, Sheikh Mohammad Abdullah
,18 July 1980, 18 July 1980
,"January 24, 1989"," January 24, 1989"
,HADES, HADES
,3, 3
,Chief Justice of the Sikkim High Court, Chief Justice of the Sikkim High Court
,"Riverside, California"," Riverside, California"
,Babareshi, Babareshi
,2016, 2016
,Filippo Ambrogio Santambrogio, Filippo Ambrogio Santambrogio
,"1,916,432"," 1,916,432"
,Daniele Garozzo, Daniele Garozzo
,Raquel Palomeque, Raquel Palomeque
,airport baggage handler, airport baggage handler
,Lara Croft, Lara Croft
,Grandmaster award , Grandmaster award 
,Revue d'Entomologie , Revue d'Entomologie 
,Marston Conder, Marston Conder
,"5th September, 2011"," 5th September, 2011"
,AAA-AAA, AAA-AAA
,1983., 1983.
,"May 26, 2011"," May 26, 2011"
,David Adjaye, David Adjaye
,"414,000"," 414,000"
,2007., 2007.
,"August 16, 2023"," August 16, 2023"
,"13,600"," 13,600"
,5, 5
,Shinjuku, Shinjuku
,2007, 2007
,22 January 2010 , 22 January 2010 
,Fred Gordon, Fred Gordon
,17.2 meters, 17.2 meters
,"Episode 13, ""Sandwich of Death"""," Episode 13, ""Sandwich of Death"""
,Sneaton, Sneaton
,11.70 m/, 11.70 m/
,Dacia Klinkerch, Dacia Klinkerch
,1921, 1921
,5, 5
, Harinder Pal Sandhu,  Harinder Pal Sandhu
,Marsha Cottrell, Marsha Cottrell
,Sts. Simon and Jude, Sts. Simon and Jude
,Lillie Williams Stone, Lillie Williams Stone
,Soweto, Soweto
,Mariam Nabatanzi Babirye, Mariam Nabatanzi Babirye
,The Siachen Glacier, The Siachen Glacier
,three, three
,Best, Best
,elephant, elephant
,David Kenani Maraga, David Kenani Maraga
,6, 6
,"Season 3, Episode 6"," Season 3, Episode 6"
,Boateng, Boateng
,2010, 2010
,1556, 1556
,23 August 1945, 23 August 1945
,Blacksmith, Blacksmith
,Goodman-Dale, Goodman-Dale
,"Sep 07, 2023"," Sep 07, 2023"
,1270 mm, 1270 mm
,Anselm Kiefer, Anselm Kiefer
,405 x 480 cm, 405 x 480 cm
,2006, 2006
,Litchfield Observatory, Litchfield Observatory
,phosphatidylserine decarboxylase, phosphatidylserine decarboxylase
,Vignolini, Vignolini
,7th May 1949., 7th May 1949.
,Women's Society Against Environmental Pollution, Women's Society Against Environmental Pollution
,Joshna Chinappa, Joshna Chinappa
,Asahis, Asahis
,1758, 1758
,quartz from Limousin, quartz from Limousin
,Dovichi, Dovichi
,1992, 1992
,Talbot Waterman, Talbot Waterman
,Diane Lidke, Diane Lidke
,Moritz Jagendorf., Moritz Jagendorf.
,1943, 1943
,Jerry John Rawlings, Jerry John Rawlings
,Forsgården Golf Club, Forsgården Golf Club
,Untitled #96, Untitled #96
,1965, 1965
, 6 September 2011,  6 September 2011
,10, 10
,17 March 2006, 17 March 2006
,78, 78
,Four., Four.
,Iceland , Iceland 
,8.64, 8.64
,"Good Cop, Bad Cop"," Good Cop, Bad Cop"
,Ryuhoku Elementary School., Ryuhoku Elementary School.
,University of Bonn., University of Bonn.
,United States of America, United States of America
,1758, 1758
,21 September 1909, 21 September 1909
,21 June 2001, 21 June 2001
,Alamo, Alamo
,María del Pilar Fernández Vega, María del Pilar Fernández Vega
,1950, 1950
, April 2023,  April 2023
,500, 500
,Zara Quiroga and Rizal Khan, Zara Quiroga and Rizal Khan
,March 1925, March 1925
, Carnegie Mellon University,  Carnegie Mellon University
,1984, 1984
,Shri A.Tombikanta Singh, Shri A.Tombikanta Singh
,A Major, A Major
,1991, 1991
,24 May 1576, 24 May 1576
,"September 19, 1999"," September 19, 1999"
,Kunstakademie Düsseldorf (Arts Academy Düsseldorf), Kunstakademie Düsseldorf (Arts Academy Düsseldorf)
,2003, 2003
,Chyhyryn, Chyhyryn
,6, 6
,Maria Toorpakai Wazir, Maria Toorpakai Wazir
,2009, 2009
,24th minute, 24th minute
,Officer of the Order of the British Empire (OBE), Officer of the Order of the British Empire (OBE)
,Donald M. Gray, Donald M. Gray
,1911 to 1959, 1911 to 1959
,Anne Golden, Anne Golden
,1968, 1968
,"North Caldwell, New Jersey"," North Caldwell, New Jersey"
,Vasilis Bisbikis played Creon in Antigone at the Epidaurus Festival in 2022., Vasilis Bisbikis played Creon in Antigone at the Epidaurus Festival in 2022.
,1614, 1614
,Michael Pick, Michael Pick
,"Solution of the Two-dimensional Mixed-mixed Boundary Value Problem of Elasticity For Rectangular, Orthotropic Media And Application To The Buckling Of Sandwich Beams[1]"," Solution of the Two-dimensional Mixed-mixed Boundary Value Problem of Elasticity For Rectangular, Orthotropic Media And Application To The Buckling Of Sandwich Beams[1]"
,Graceland Too, Graceland Too
,Ginnifer Goodwin, Ginnifer Goodwin
,6170, 6170
,1981, 1981
,1912, 1912
,Rock on the Road, Rock on the Road
,"June 4, 2002"," June 4, 2002"
,Volume 49 Issue 5, Volume 49 Issue 5
,Icie G. Macy-Hoobler, Icie G. Macy-Hoobler
,1000 souls, 1000 souls
,10, 10
,"December 26, 1978"," December 26, 1978"
,LV-1901, LV-1901
,Aaron Brody, Aaron Brody
,1865, 1865
,1988, 1988
,1942, 1942
,Aravind Joshi, Aravind Joshi
,4, 4
,Contralto voice, Contralto voice
,September 2018, September 2018
,February 1942, February 1942
,1.0495, 1.0495
,Dreaming, Dreaming
,Whitehttps://www.sfgmc.org/blog/pride-flags#block-yui_3_17_2_1_1683145657332_180414, Whitehttps://www.sfgmc.org/blog/pride-flags#block-yui_3_17_2_1_1683145657332_180414
,In 1976. , In 1976. 
,Yasuchika Fujii, Yasuchika Fujii
,Lilian Masediba Matabane Ngoyi, Lilian Masediba Matabane Ngoyi
,Chih-Peng Fan, Chih-Peng Fan
,2 January 1943, 2 January 1943
,2, 2
,Erwin Schwab, Erwin Schwab
,Raúl Borrás, Raúl Borrás
,1957, 1957
,Sarina Roma, Sarina Roma
,20 x 56 in studs, 20 x 56 in studs
,1556, 1556
,"March 21, 2019"," March 21, 2019"
,1926, 1926
,0.95 kilometres, 0.95 kilometres
,Dorick, Dorick
,17 July 1972 - 5 April 1977, 17 July 1972 - 5 April 1977
,626, 626
,Cecil Edward Gibbon, Cecil Edward Gibbon
,Mrs Grover's Hotel., Mrs Grover's Hotel.
,Su. Thirunavukkarasar , Su. Thirunavukkarasar 
,Preethi Srinivasan, Preethi Srinivasan
,Snezhana Von Büdingen, Snezhana Von Büdingen
,Tatsujiro Shimizu, Tatsujiro Shimizu
,25 September 1989, 25 September 1989
,8, 8
,"Beijing, China"," Beijing, China"
,"April 2, 2019"," April 2, 2019"
,Ida Barney, Ida Barney
,Cornell University's School of Nursing, Cornell University's School of Nursing
,"April 11, 2013"," April 11, 2013"
,9.3mm, 9.3mm
,1994, 1994
,Figure 6, Figure 6
,Herzberg, Herzberg
,friar Juan de Los Barrios, friar Juan de Los Barrios
,Coursan, Coursan
,3, 3
,Dr. James Hagler, Dr. James Hagler
,Woofles, Woofles
,18, 18
,Francisco Pico, Francisco Pico
,14 February 1896, 14 February 1896
,1976, 1976
,Kristi Noem, Kristi Noem
,"June 14th, 1900"," June 14th, 1900"
,Sebastian Kolowa, Sebastian Kolowa
,3, 3
,Frank Porter Graham, Frank Porter Graham
,The San Martín Palace was designed by the architect Alejandro Christophersen., The San Martín Palace was designed by the architect Alejandro Christophersen.
,2005, 2005
,1815, 1815
,University of Illinois at Urbana–Champaign., University of Illinois at Urbana–Champaign.
,Antonella Ragno-Lonzi, Antonella Ragno-Lonzi
,"April 19, 1966"," April 19, 1966"
,Garfield, Garfield
,61 Danaë, 61 Danaë
,12, 12
,Jack Washington, Jack Washington
,Bar-Ilan University, Bar-Ilan University
,Kalin Twins, Kalin Twins
,"Doljești, Neamț County, Romania"," Doljești, Neamț County, Romania"
,Rep. Joe Tate, Rep. Joe Tate
,2009, 2009
,Mathikere Sampige Ramaiah, Mathikere Sampige Ramaiah
,5 ft 10 in, 5 ft 10 in
,Australia, Australia
,Ardlings, Ardlings
,Cannon-Bard, Cannon-Bard
,Marcelo Langieri, Marcelo Langieri
,May 2006, May 2006
,Clarence van Riet Lowe, Clarence van Riet Lowe
,Koji Haishima, Koji Haishima
,Heidelberg (024), Heidelberg (024)
,The School of Oriental and African Studies University of London, The School of Oriental and African Studies University of London
,1.328, 1.328
,"January 25, 1991"," January 25, 1991"
,08 July 2023, 08 July 2023
,1958, 1958
,Dr. Michael A. Pikos, Dr. Michael A. Pikos
,1970, 1970
,20 May 1992, 20 May 1992
,100 MHz, 100 MHz
,Erkki Oja, Erkki Oja
,6.74, 6.74
,29.1, 29.1
,The Mixers, The Mixers
,160.00, 160.00
,Charles Alfred Maguire., Charles Alfred Maguire.
,2015, 2015
,Republican Party, Republican Party
,1980, 1980
,The zither., The zither.
,Stauffer, Stauffer
,10, 10
,1921, 1921
,1.3, 1.3
, En Marche!,  En Marche!
,2021, 2021
,Urey, Urey
,12., 12.
,Karen Mastney, Karen Mastney
,chief justice of the Manipur High Court, chief justice of the Manipur High Court
,4, 4
,36, 36
,Caresse Crosby, Caresse Crosby
,Lynn Conway, Lynn Conway
,18.01, 18.01
,Liverpool 2 - 1 Leicester, Liverpool 2 - 1 Leicester
,1.06, 1.06
,Abu Ishaq al-Sahili., Abu Ishaq al-Sahili.
,2.61%, 2.61%
,2019, 2019
,Platinum, Platinum
,Top 10 Programs of the Year in American Film Institute Awards., Top 10 Programs of the Year in American Film Institute Awards.
,1983, 1983
,20 m, 20 m
,29, 29
,David Crombie., David Crombie.
,"Umera Ahmad, 2021, August"," Umera Ahmad, 2021, August"
,Riga, Riga
,1972, 1972
, Vivekanandapuri,  Vivekanandapuri
,Jim Fiscus, Jim Fiscus
,156391, 156391
,Island Records, Island Records
,May your honour accept my humble namaskara. , May your honour accept my humble namaskara. 
,1907, 1907
,1843, 1843
,24 years, 24 years
,Anwar Jamal Kidwai, Anwar Jamal Kidwai
,61.4, 61.4
,Thomas Kitson, Thomas Kitson
,Abano Terme, Abano Terme
,"Austria, Denmark, Monaco, Romania, Russia, Switzerland, and the United States."," Austria, Denmark, Monaco, Romania, Russia, Switzerland, and the United States."
,Astron 2, Astron 2
,1979, 1979
,1889, 1889
,Olga Polverino, Olga Polverino
,"November 9, 2008"," November 9, 2008"
,1989, 1989
,Jess Castellote, Jess Castellote
,Colacot, Colacot
,1956, 1956
,Badri Dutt Joshi, Badri Dutt Joshi
, Hugo H. Schaefer Award,  Hugo H. Schaefer Award
,Birendra Bir Bikram Shah Dev, Birendra Bir Bikram Shah Dev
,5.0.4, 5.0.4
,10 years, 10 years
,31 March 1870, 31 March 1870
,Raphael, Raphael
,December 2018, December 2018
,Olive Emms, Olive Emms
,John T. Drinkard and Susie Belle Fuller, John T. Drinkard and Susie Belle Fuller
,2000, 2000
,"Season 6 Episode 21 ""The Road Less Traveled"""," Season 6 Episode 21 ""The Road Less Traveled"""
,110.50 m, 110.50 m
,01 Jul 2012 , 01 Jul 2012 
,DB11150, DB11150
,Poland, Poland
,14., 14.
,18 August 1928, 18 August 1928
,Bill Carrigan, Bill Carrigan
,44 minutes & 8 seconds, 44 minutes & 8 seconds
,Technische Universität Darmstadt, Technische Universität Darmstadt
,Alfred George Fischer, Alfred George Fischer
,1938, 1938
,2013, 2013
,1858, 1858
,3rd, 3rd
,"October 9, 1952"," October 9, 1952"
,1912, 1912
,Sierra High School., Sierra High School.
,Oriental Cricket Club, Oriental Cricket Club
,"Yariguies, Barrancabermeja, Colombia"," Yariguies, Barrancabermeja, Colombia"
,Pictor, Pictor
,J. E. H. Benoît, J. E. H. Benoît
,Patch 1.11.1, Patch 1.11.1
,Rutta Qila, Rutta Qila
,5 October 2016, 5 October 2016
,Edappadi Karuppa Palaniswami., Edappadi Karuppa Palaniswami.
,"Season 4, Episode 3"," Season 4, Episode 3"
,Pedra Branca, Pedra Branca
,Lidia Ticheeva , Lidia Ticheeva 
,"2,111,578"," 2,111,578"
,the University of Alberta., the University of Alberta.
,2009, 2009
,3, 3
,29  December 1777, 29  December 1777
,1790, 1790
,2017, 2017
,Nicole Arendt and Manon Bollegraf. , Nicole Arendt and Manon Bollegraf. 
,Dec 2022, Dec 2022
,Deprived, Deprived
,Nixie tube display, Nixie tube display
,President Kelly Wade, President Kelly Wade
,1968, 1968
,Emmett, Emmett
,"Baltimore, Maryland"," Baltimore, Maryland"
,Flood Illuminator, Flood Illuminator
,1953-1955, 1953-1955
,121, 121
,Gopinath Pradhan, Gopinath Pradhan
,1989, 1989
,"August 2, 2007"," August 2, 2007"
,Casavecchia, Casavecchia
,9.50 m, 9.50 m
,Harold Emms, Harold Emms
,1861, 1861
,Sinestro, Sinestro
,"SMS Medical College, Jaipur"," SMS Medical College, Jaipur"
,"December 27, 2006"," December 27, 2006"
,"17 October, 1879"," 17 October, 1879"
,1984 to 1986, 1984 to 1986
,18 August 1987, 18 August 1987
,BURRY, BURRY
,Kalinga Prize., Kalinga Prize.
,1967, 1967
,Volvo FEI World Cup Final, Volvo FEI World Cup Final
,1853, 1853
,short people, short people
,Warren, Warren
,1992, 1992
,two, two
,17.190.636, 17.190.636
,Roza Yulievna Fleishmann , Roza Yulievna Fleishmann 
,1975, 1975
,Saqib Majeed, Saqib Majeed
,LD-700, LD-700
,53rd minute, 53rd minute
,four times, four times
,Dave Garroway , Dave Garroway 
,17.37.59, 17.37.59
,"March, 1962."," March, 1962."
,Edmond Saiac, Edmond Saiac
,University of Strasbourg., University of Strasbourg.
,Benjamin Joseph Allen, Benjamin Joseph Allen
,1843, 1843
,Eddard Stark, Eddard Stark
,30, 30
,3, 3
,"February 1, 2016"," February 1, 2016"
,26, 26
,Columbia High School, Columbia High School
,Park Geun-hye, Park Geun-hye
,Hawaii, Hawaii
,Tuensang, Tuensang
,Amr Mousa, Amr Mousa
,41:18, 41:18
,Captain Antonio Gómez de Castro, Captain Antonio Gómez de Castro
,Oskar Kokoschka Prize, Oskar Kokoschka Prize
,2006, 2006
,Giovanni Antonio Scopoli, Giovanni Antonio Scopoli
,15 June 2004, 15 June 2004
,Wes Moore, Wes Moore
,1965, 1965
,40:06, 40:06
,Curchod, Curchod
,Hinshelwood, Hinshelwood
,219, 219
,22nd minute, 22nd minute
,Punjab , Punjab 
,"1,142"," 1,142"
,Hank., Hank.
,1946., 1946.
,SH229, SH229
,H. D. Kumaraswamy, H. D. Kumaraswamy
,1795, 1795
,1969, 1969
,88.47%, 88.47%
,Doug Garner, Doug Garner
,Alex Sanchez, Alex Sanchez
,May 2020, May 2020
,"18th of April, 1954"," 18th of April, 1954"
,"4,563"," 4,563"
,Oedipus curses his son Polynices., Oedipus curses his son Polynices.
,2014 Critics' Choice Television Award for Most Exciting New Series, 2014 Critics' Choice Television Award for Most Exciting New Series
,Magical Melodies, Magical Melodies
,Jeffrey Cuzzi, Jeffrey Cuzzi
,Season 2 Episode 2 The Cave of Two Lovers, Season 2 Episode 2 The Cave of Two Lovers
,February 2013., February 2013.
,Mitsuaki Tanigawa, Mitsuaki Tanigawa
, Ghulam Nabi Wani Sogami,  Ghulam Nabi Wani Sogami
,1914, 1914
,Bihar Pradesh Congress Committee, Bihar Pradesh Congress Committee
,66 votes, 66 votes
,55%, 55%
,41%, 41%
,Bruno Buchberger, Bruno Buchberger
,Brazil, Brazil
,"August 19, 2006"," August 19, 2006"
,5, 5
,1995, 1995
,2 April 1940, 2 April 1940
,November 2018, November 2018
,October 2023, October 2023
,Tatiana Zatulovskaya, Tatiana Zatulovskaya
,2005–2009, 2005–2009
,Barbados, Barbados
,Jack Racine, Jack Racine
,1807, 1807
,17 October 1946, 17 October 1946
,MP-22, MP-22
,1836, 1836
,ROJO, ROJO
,Ida Adamoff, Ida Adamoff
,Kurt Mehlhorn, Kurt Mehlhorn
,Saz-e-Kashmir, Saz-e-Kashmir
,Fazal Ilahi Chaudhry, Fazal Ilahi Chaudhry
,Barbara Liskov, Barbara Liskov
,"""She"""," ""She"""
,Poliakoff, Poliakoff
,2008, 2008
,1952., 1952.
,204, 204
,Kenneth Rausch, Kenneth Rausch
,"August 17th, 2011"," August 17th, 2011"
,Lady Annabel Birley, Lady Annabel Birley
,Polymixia hollisterea, Polymixia hollisterea
,27 Nov 2023, 27 Nov 2023
,1995-1997, 1995-1997
,Namibia 38 - 26 Emerging Italy, Namibia 38 - 26 Emerging Italy
,13 May 2004, 13 May 2004
,Saffron Cultivation, Saffron Cultivation
,Dora Altbir, Dora Altbir
,46 ft, 46 ft
,"September 15, 2010"," September 15, 2010"
,April 1965, April 1965
,"August 14, 1996"," August 14, 1996"
,10 January 1983, 10 January 1983
,"1508 Cadiz Street, Dallas, TX, 75201"," 1508 Cadiz Street, Dallas, TX, 75201"
,15, 15
,Whoopi Goldberg, Whoopi Goldberg
,Koichi Ishii, Koichi Ishii
,Prof. Dr. Tunçalp ÖZGEN, Prof. Dr. Tunçalp ÖZGEN
,Knoebels Amusement Resort, Knoebels Amusement Resort
,76, 76
,Society for Artists and Performers, Society for Artists and Performers
,"June 5, 2019"," June 5, 2019"
,"St. John's College, Annapolis"," St. John's College, Annapolis"
,7.22f, 7.22f
,Game Changer Award, Game Changer Award
, New Guinea,  New Guinea
,Jean Fournier, Jean Fournier
,Former chief justice of the Rajasthan High Court, Former chief justice of the Rajasthan High Court
, Pierre Paul Dehérain,  Pierre Paul Dehérain
,3, 3
,"University of California, Berkeley"," University of California, Berkeley"
,1841, 1841
,2002., 2002.
,Eduardo Le Monnier, Eduardo Le Monnier
,New York University, New York University
,1500, 1500
,French and Latin, French and Latin
,14, 14
,Two., Two.
,"28,983"," 28,983"
,March 1807, March 1807
,1850, 1850
,$20 million, $20 million
,Breng Valley, Breng Valley
,Lori Todd, Lori Todd
,"""For Emily, Whenever I May Find Her"""," ""For Emily, Whenever I May Find Her"""
,Mach, Mach
,Coenraad Jacob Temminck, Coenraad Jacob Temminck
,2014, 2014
,January 2017., January 2017.
,Hanoi, Hanoi
,33, 33
,Captain Shiva Chauhan, Captain Shiva Chauhan
,Chris Sander, Chris Sander
,"June 27, 1926"," June 27, 1926"
,Don't Look, Don't Look
,19 November 1961, 19 November 1961
,"February 15, 1962"," February 15, 1962"
,Dr Mathavaraj S, Dr Mathavaraj S
,"seventeenth season, third episode"," seventeenth season, third episode"
,12 April 1956, 12 April 1956
,Three years old., Three years old.
,Harry Bentley, Harry Bentley
,The Palazzo della Cancelleria, The Palazzo della Cancelleria
,8, 8
,February 1993, February 1993
,"July 30, 2023"," July 30, 2023"
,Litteris et Artibus, Litteris et Artibus
,Finnish and Wolof, Finnish and Wolof
,"December 31, 2008"," December 31, 2008"
,W. Gary Ernst, W. Gary Ernst
,Dorothee Kern, Dorothee Kern
,"LET function
"," LET function
"
,18 January 1993 - 16 May 1996, 18 January 1993 - 16 May 1996
,71, 71
,1962., 1962.
,University of Southern California., University of Southern California.
,Gul Shah, Gul Shah
,2013, 2013
,Joan Berkowitz, Joan Berkowitz
,24 August 2023, 24 August 2023
,3:02:24, 3:02:24
,1840, 1840
,Reverie, Reverie
,Otumfuo Osei Tutu II, Otumfuo Osei Tutu II
,The New Warriors, The New Warriors
,1852, 1852
,31 March 1999., 31 March 1999.
,"1/4,000 sec"," 1/4,000 sec"
,Gerad Yakubu Andan, Gerad Yakubu Andan
,2004, 2004
,1902, 1902
,1996, 1996
,July 2018, July 2018
,Mar Kol, Mar Kol
,30 July 1958, 30 July 1958
,"Carolyn ""Mountain Girl"" Adams."," Carolyn ""Mountain Girl"" Adams."
,August 2022, August 2022
,July, July
,Agriculture and Forestry University, Agriculture and Forestry University
,1881, 1881
,2012, 2012
,M. Chinnaswamy Stadium, M. Chinnaswamy Stadium
,Fitzjohn's Primary School, Fitzjohn's Primary School
,April, April
,"Fancy Gap, VA"," Fancy Gap, VA"
,Two, Two
,52, 52
,1985, 1985
,Leah Shaw, Leah Shaw
,Kathy Kusner, Kathy Kusner
,1988, 1988
,TAK-925, TAK-925
,"Khotyn Fortress, Ukraine"," Khotyn Fortress, Ukraine"
," April 1, 1999","  April 1, 1999"
,Affleck, Affleck
,29 October 2014, 29 October 2014
,Professor Kathy Sykes, Professor Kathy Sykes
,Housekeeper, Housekeeper
,Francis Taylor, Francis Taylor
,March 2014, March 2014
,1970, 1970
,kitchen range, kitchen range
,1541, 1541
,Richard Anderson, Richard Anderson
,35 Downshire Hill, 35 Downshire Hill
,3949m, 3949m
,Rawalpindi, Rawalpindi
,1435, 1435
,Miriam Kastner, Miriam Kastner
,Marina Ratner, Marina Ratner
,Waseela Sydow., Waseela Sydow.
,2013, 2013
,1 September 2015, 1 September 2015
,We could have been beautiful, We could have been beautiful
,Art Becofsky, Art Becofsky
,Graskop, Graskop
,RheinEnergieStadion, RheinEnergieStadion
,1989, 1989
,1898, 1898
,New Mexico, New Mexico
,1986, 1986
,21 April 1948, 21 April 1948
,Nobiru Nobi, Nobiru Nobi
,2007., 2007.
,long-shingled Carpathian roof, long-shingled Carpathian roof
,January 2021, January 2021
,Shinnosuke Tachibana, Shinnosuke Tachibana
,Patch 5.0.4, Patch 5.0.4
,Rajiv Gandhi, Rajiv Gandhi
,September 29 2015, September 29 2015
,2013, 2013
,Wutip, Wutip
,1970, 1970
,"61. 53 male, 8 female."," 61. 53 male, 8 female."
,10, 10
,Tatianna, Tatianna
,0.59, 0.59
,1914., 1914.
,Hilal, Hilal
,Head, Head
,Savage, Savage
,Benjamin Bullard, Benjamin Bullard
,2019, 2019
,"France, Karyn G. and Blampied, Neville M."," France, Karyn G. and Blampied, Neville M."
,2016, 2016
,"June 26, 1958"," June 26, 1958"
,1774, 1774
,1 April 1905, 1 April 1905
,Jagmohan., Jagmohan.
,1849, 1849
,George Browne, George Browne
,1908, 1908
,"$500,000"," $500,000"
,2005, 2005
,Sri Ramakrishna Vidyashala, Sri Ramakrishna Vidyashala
,1500, 1500
,"Nea Filadelfeia, Greece."," Nea Filadelfeia, Greece."
,Annapura and Rani Chanda, Annapura and Rani Chanda
,18 October 1997, 18 October 1997
,1613, 1613
,v0.4.0, v0.4.0
,250, 250
,James Giles, James Giles
,Tunis., Tunis.
,Sybil Reisz, Sybil Reisz
,Nicolo Filippo Rosso, Nicolo Filippo Rosso
,1986, 1986
,"December 29, 1998"," December 29, 1998"
,And a Child Shall Lead, And a Child Shall Lead
,Brittney Schreiner, Brittney Schreiner
,Varahagiri Venkata Giri, Varahagiri Venkata Giri
,2005 autumn/winter season, 2005 autumn/winter season
,"A Walk in Andante, 1:18"," A Walk in Andante, 1:18"
,6, 6
,7.0.3, 7.0.3
,1913, 1913
,Maurice Banerjee, Maurice Banerjee
,1838, 1838
,Gymnastics, Gymnastics
,Campobasso, Campobasso
,2, 2
,3, 3
,Minister of Energy in Ghana, Minister of Energy in Ghana
,Ovidiu Savin, Ovidiu Savin
,16 August 2018, 16 August 2018
,1, 1
,September 1989, September 1989
,"September 30th, 1960"," September 30th, 1960"
,29MP, 29MP
,David Churchill, David Churchill
,1935, 1935
,1936, 1936
,13.44 m, 13.44 m
,Geoffrey, Geoffrey
,First, First
,Half-Pint, Half-Pint
,There's a hero, There's a hero
,John Skelton, John Skelton
,#FFFF9F, #FFFF9F
,Girwani Rajya Lakshmi Devi Rana and Surangana Rajya Lakshmi Devi Rana, Girwani Rajya Lakshmi Devi Rana and Surangana Rajya Lakshmi Devi Rana
,Takeo Kanade , Takeo Kanade 
,2005, 2005
,Jimmy Hughes, Jimmy Hughes
,Arshad Sauleh, Arshad Sauleh
,Humacao , Humacao 
,Karlsruhe, Karlsruhe
,v1.3-rc8, v1.3-rc8
,March 2015, March 2015
,Wataru Ishibashi., Wataru Ishibashi.
,4.75 ft, 4.75 ft
,Pomona College, Pomona College
,"Rev. William Forster's brother, Richard Forster."," Rev. William Forster's brother, Richard Forster."
,Robert C. Newton, Robert C. Newton
,Track and Football, Track and Football
,June Bacon-Bercey, June Bacon-Bercey
, Andy Bleiler,  Andy Bleiler
,2000, 2000
,"The Department of Mathematics of the University of California, Berkeley"," The Department of Mathematics of the University of California, Berkeley"
,Mindgrove, Mindgrove
,55, 55
, John Bennett ,  John Bennett 
,1994, 1994
, December 2004,  December 2004
,I'm not giving up on you, I'm not giving up on you
,Habba Khatoon, Habba Khatoon
,"September 1, 2021"," September 1, 2021"
,9th, 9th
,365, 365
,September 2022, September 2022
,Deborah L. Rhode, Deborah L. Rhode
,Louis Armstrong., Louis Armstrong.
,2618, 2618
,Esmond Edwards, Esmond Edwards
,John Hopkins University, John Hopkins University
,1974, 1974
,Roddam Narasimha, Roddam Narasimha
,Taeniolabis taoensis, Taeniolabis taoensis
,Fisk University, Fisk University
,Los Angeles, Los Angeles
,#blacklivesmatter, #blacklivesmatter
,Kollur, Kollur
,Second round, Second round
,53:44, 53:44
,Ennio De Giorgi, Ennio De Giorgi
,John Wadsworth, John Wadsworth
,Scab, Scab
,Herman Matthee, Herman Matthee
,July 2022, July 2022
,Alison Hulme, Alison Hulme
,Spain., Spain.
,Xiangyu Zhang, Xiangyu Zhang
,Nikii Waalia, Nikii Waalia
,1951, 1951
,Plymouth University, Plymouth University
,Albert Badoureau, Albert Badoureau
,Takehisa Kosugi, Takehisa Kosugi
,Stan Silver, Stan Silver
,"Season 1, Episode 9- Mr. Hankey, the Christmas Poo"," Season 1, Episode 9- Mr. Hankey, the Christmas Poo"
,Adrian Holmes, Adrian Holmes
,Cyprus, Cyprus
,4, 4
,extension cord, extension cord
,Sachin Tendulkar, Sachin Tendulkar
,Kevin C. A. Burke, Kevin C. A. Burke
,52nd minute, 52nd minute
,Marcel Roche, Marcel Roche
,1953, 1953
, 25 April 2011,  25 April 2011
,221, 221
,The Wanderer, The Wanderer
,Pakyong, Pakyong
,1990, 1990
,"17,073,018 bytes"," 17,073,018 bytes"
,2003, 2003
,1962, 1962
,The Reading Mercury, The Reading Mercury
,Ganges-Yamuna Doab, Ganges-Yamuna Doab
,1503, 1503
,1937, 1937
,Radford High School, Radford High School
,July, July
,Padma Kanya Campus , Padma Kanya Campus 
,Rajindar Singh Dhatt, Rajindar Singh Dhatt
,1976, 1976
,Funky Radio, Funky Radio
,"May 16, 2015"," May 16, 2015"
,454, 454
,2011 to 2013, 2011 to 2013
,Portrait of Adele Bloch-Bauer II , Portrait of Adele Bloch-Bauer II 
,Marquess Wu, Marquess Wu
,Patrick Henry High School, Patrick Henry High School
,March 1914, March 1914
,"$3,617,593"," $3,617,593"
,2017, 2017
,Lee Teng-hui., Lee Teng-hui.
,Robert Smalls, Robert Smalls
,Two, Two
,2, 2
,William Beechey and Hannah Read, William Beechey and Hannah Read
,Peter Norvig, Peter Norvig
,January 13 1559, January 13 1559
,Rafoogar baithak, Rafoogar baithak
,Tel Aviv University, Tel Aviv University
,Crabtree, Crabtree
,Allongue, Allongue
,fly, fly
,Ghiyas-ud-din Balban., Ghiyas-ud-din Balban.
,Toronto, Toronto
,September 2011, September 2011
,Helena, Helena
